hotel_name;location;price;review_date;rating;is_luxury_hotel;review;distance_from_city_center;check_in_time;check_out_time;number_of_rooms;availability;rating_from_guests;hotel_facilities;label
Ocean Breeze Resort;New York;160.92;2024-08-22;5;1;Stay at Ocean Breeze Resort in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;3907;14:30;10:30;172;0;5.0;Free Parking, Air Conditioning, Spa;1
Ocean Breeze Resort;Rome;90.11;2024-03-09;5;1;Had an amazing stay at Ocean Breeze Resort in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;1192;13:0;10:30;83;1;4.6;Restaurant, Free Parking, Wi-Fi, Air Conditioning;1
The Grand Palace;New York;446.46;2024-01-13;1;1;Stay at The Grand Palace in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;1856;13:30;10:30;37;1;4.0;Air Conditioning, Free Parking, Spa, Wi-Fi;0
The Ritz Plaza;Rome;60.8;2024-09-18;1;1;Stay at The Ritz Plaza in Rome was okay. The room was decent, but nothing special. It was a fine experience overall.;3987;12:45;10:0;129;1;3.4;Air Conditioning, Spa, Free Parking, Swimming Pool, Restaurant;0
Heritage Grand Hotel;Rome;226.1;2024-05-11;3;1;Very disappointing stay at Heritage Grand Hotel in Rome. The room was not clean and the service was awful. Would not recommend!;2315;15:45;10:30;42;1;3.2;Air Conditioning, Free Parking, Gym, Wi-Fi, Swimming Pool, Spa;0
Seaside Luxury Suites;Paris;371.78;2024-08-11;2;1;Had an amazing stay at Seaside Luxury Suites in Paris. The service was top-notch and the amenities were fantastic! Highly recommend!;2179;14:45;10:30;32;1;3.7;Swimming Pool, Gym, Free Parking;0
Heritage Grand Hotel;Jerusalem;380.27;2024-06-20;5;1;Very disappointing stay at Heritage Grand Hotel in Jerusalem. The room was not clean and the service was awful. Would not recommend!;1963;14:30;10:0;55;0;4.9;Air Conditioning, Restaurant, Wi-Fi;1
Luxe Hotel & Spa;Jerusalem;490.31;2024-09-21;4;1;Stay at Luxe Hotel & Spa in Jerusalem was okay. The room was decent, but nothing special. It was a fine experience overall.;2914;13:45;10:30;72;0;3.4;Free Parking, Air Conditioning, Wi-Fi, Restaurant, Gym;1
Mountain View Inn;Paris;146.23;2024-03-27;5;1;Had an amazing stay at Mountain View Inn in Paris. The service was top-notch and the amenities were fantastic! Highly recommend!;4577;12:0;10:0;36;1;3.2;Free Parking, Air Conditioning, Restaurant, Gym;1
Ocean Breeze Resort;Tel Aviv;376.72;2024-11-27;2;1;Had an amazing stay at Ocean Breeze Resort in Tel Aviv. The service was top-notch and the amenities were fantastic! Highly recommend!;1627;13:45;11:0;177;0;4.8;Gym, Air Conditioning, Swimming Pool, Restaurant;0
Golden Sands Resort;Tel Aviv;141.3;2024-04-15;5;1;Stay at Golden Sands Resort in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;4407;14:0;10:0;183;0;4.6;Wi-Fi, Free Parking, Restaurant;1
Ocean Breeze Resort;Rome;109.91;2024-11-25;5;1;Had an amazing stay at Ocean Breeze Resort in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;680;13:45;10:0;107;0;3.7;Wi-Fi, Spa, Air Conditioning;1
Crystal Waters Resort;New York;466.83;2024-01-26;4;1;Stay at Crystal Waters Resort in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;3505;12:0;10:30;70;0;3.8;Gym, Swimming Pool, Air Conditioning, Spa, Free Parking, Wi-Fi;1
Urban Escape Hotel;London;450.93;2024-01-21;1;1;Had an amazing stay at Urban Escape Hotel in London. The service was top-notch and the amenities were fantastic! Highly recommend!;639;15:0;11:0;168;0;3.1;Air Conditioning, Wi-Fi, Swimming Pool, Spa, Free Parking;0
Skyline Retreat;New York;225.07;2024-10-10;1;1;Stay at Skyline Retreat in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;4681;14:0;10:0;45;0;3.0;Gym, Air Conditioning, Swimming Pool;0
Blue Lagoon Resort;Tel Aviv;291.14;2024-02-04;3;1;Had an amazing stay at Blue Lagoon Resort in Tel Aviv. The service was top-notch and the amenities were fantastic! Highly recommend!;517;13:0;11:0;140;1;4.1;Restaurant, Wi-Fi, Air Conditioning, Free Parking, Spa;0
Mountain View Inn;Tel Aviv;297.46;2024-12-24;2;1;Stay at Mountain View Inn in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;1802;12:30;10:30;166;1;4.2;Spa, Free Parking, Swimming Pool, Air Conditioning, Wi-Fi, Restaurant;0
Sunset Beach Resort;Rome;79.3;2024-11-28;2;1;Very disappointing stay at Sunset Beach Resort in Rome. The room was not clean and the service was awful. Would not recommend!;2290;15:30;11:0;40;0;4.8;Free Parking, Gym, Swimming Pool;0
Urban Escape Hotel;Tel Aviv;444.64;2024-02-06;1;1;Stay at Urban Escape Hotel in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;3529;15:30;10:0;79;0;4.6;Wi-Fi, Restaurant, Air Conditioning, Spa;0
Mountain View Inn;New York;310.49;2024-02-03;3;1;Had an amazing stay at Mountain View Inn in New York. The service was top-notch and the amenities were fantastic! Highly recommend!;943;14:45;11:30;42;0;3.4;Air Conditioning, Wi-Fi, Restaurant, Free Parking, Swimming Pool, Gym;0
Urban Escape Hotel;Dubai;253.37;2024-05-17;4;1;Very disappointing stay at Urban Escape Hotel in Dubai. The room was not clean and the service was awful. Would not recommend!;1597;13:30;10:30;40;0;3.7;Gym, Free Parking, Spa, Swimming Pool, Wi-Fi;1
Blue Lagoon Resort;New York;456.01;2024-07-12;1;1;Very disappointing stay at Blue Lagoon Resort in New York. The room was not clean and the service was awful. Would not recommend!;2003;12:0;10:0;48;1;3.2;Gym, Air Conditioning, Free Parking, Spa, Wi-Fi;0
Mountain View Inn;Paris;53.77;2024-10-01;1;1;Very disappointing stay at Mountain View Inn in Paris. The room was not clean and the service was awful. Would not recommend!;4734;14:45;11:30;59;0;5.0;Restaurant, Wi-Fi, Free Parking, Swimming Pool, Spa;0
Royal Park Hotel;Paris;286.52;2024-11-23;3;1;Very disappointing stay at Royal Park Hotel in Paris. The room was not clean and the service was awful. Would not recommend!;1253;14:30;10:0;59;1;3.3;Free Parking, Air Conditioning, Restaurant;0
Sunset Beach Resort;Berlin;154.12;2024-12-03;5;1;Had an amazing stay at Sunset Beach Resort in Berlin. The service was top-notch and the amenities were fantastic! Highly recommend!;3000;12:30;11:30;172;0;3.4;Gym, Wi-Fi, Free Parking, Restaurant;1
Luxe Hotel & Spa;New York;50.52;2024-04-26;3;1;Had an amazing stay at Luxe Hotel & Spa in New York. The service was top-notch and the amenities were fantastic! Highly recommend!;3386;14:0;10:30;150;0;3.8;Wi-Fi, Swimming Pool, Free Parking, Air Conditioning, Gym, Spa;0
Blue Lagoon Resort;Rome;109.28;2024-04-05;2;1;Very disappointing stay at Blue Lagoon Resort in Rome. The room was not clean and the service was awful. Would not recommend!;1633;13:0;10:30;75;0;4.8;Gym, Restaurant, Air Conditioning, Spa, Free Parking;0
Seaside Luxury Suites;London;272.28;2024-03-13;2;1;Had an amazing stay at Seaside Luxury Suites in London. The service was top-notch and the amenities were fantastic! Highly recommend!;3897;13:0;10:0;41;0;3.6;Gym, Wi-Fi, Restaurant, Free Parking, Swimming Pool, Spa;0
Sunset Beach Resort;Paris;58.62;2024-02-20;2;1;Stay at Sunset Beach Resort in Paris was okay. The room was decent, but nothing special. It was a fine experience overall.;4037;15:0;10:0;111;0;4.5;Air Conditioning, Swimming Pool, Gym, Free Parking, Spa;0
Skyline Retreat;Paris;432.21;2024-10-05;5;1;Had an amazing stay at Skyline Retreat in Paris. The service was top-notch and the amenities were fantastic! Highly recommend!;1069;13:30;10:30;151;0;3.9;Restaurant, Gym, Wi-Fi;1
Mountain View Inn;Berlin;445.45;2024-03-19;2;1;Very disappointing stay at Mountain View Inn in Berlin. The room was not clean and the service was awful. Would not recommend!;2496;15:30;11:30;158;0;4.1;Wi-Fi, Restaurant, Spa, Swimming Pool, Gym;0
The Grand Palace;Berlin;116.04;2024-08-28;3;1;Very disappointing stay at The Grand Palace in Berlin. The room was not clean and the service was awful. Would not recommend!;3004;13:0;11:30;176;1;4.7;Air Conditioning, Wi-Fi, Swimming Pool, Free Parking, Restaurant, Spa;0
Skyline Retreat;New York;115.7;2024-02-18;3;1;Very disappointing stay at Skyline Retreat in New York. The room was not clean and the service was awful. Would not recommend!;2869;15:30;10:30;187;1;4.8;Air Conditioning, Restaurant, Swimming Pool, Free Parking;0
The Ritz Plaza;Berlin;322.2;2024-11-15;4;1;Had an amazing stay at The Ritz Plaza in Berlin. The service was top-notch and the amenities were fantastic! Highly recommend!;2895;15:45;11:0;167;1;3.7;Spa, Air Conditioning, Swimming Pool, Wi-Fi, Restaurant;1
Blue Lagoon Resort;Paris;370.33;2024-06-03;2;1;Very disappointing stay at Blue Lagoon Resort in Paris. The room was not clean and the service was awful. Would not recommend!;2960;13:45;10:30;70;0;3.1;Free Parking, Wi-Fi, Swimming Pool, Air Conditioning, Gym;0
Imperial Heights Hotel;Dubai;77.2;2024-11-22;5;1;Had an amazing stay at Imperial Heights Hotel in Dubai. The service was top-notch and the amenities were fantastic! Highly recommend!;4791;14:0;10:30;168;0;4.8;Wi-Fi, Free Parking, Restaurant, Swimming Pool, Gym;1
Ocean Breeze Resort;Rome;268.48;2024-06-01;2;1;Had an amazing stay at Ocean Breeze Resort in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;3242;14:0;11:0;164;1;3.5;Air Conditioning, Free Parking, Restaurant, Gym, Swimming Pool, Wi-Fi;0
Mountain View Inn;Tel Aviv;299.35;2024-05-26;2;1;Stay at Mountain View Inn in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;3349;14:0;11:30;85;0;3.7;Gym, Free Parking, Wi-Fi;0
Golden Sands Resort;New York;466.46;2024-05-04;2;1;Stay at Golden Sands Resort in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;2246;14:30;10:0;145;0;3.2;Swimming Pool, Air Conditioning, Wi-Fi, Spa, Restaurant;0
Crystal Waters Resort;Dubai;496.17;2024-08-21;2;1;Had an amazing stay at Crystal Waters Resort in Dubai. The service was top-notch and the amenities were fantastic! Highly recommend!;1606;12:45;10:0;71;0;4.2;Wi-Fi, Air Conditioning, Gym, Restaurant, Free Parking, Spa;0
Urban Escape Hotel;Dubai;284.33;2024-06-12;2;1;Very disappointing stay at Urban Escape Hotel in Dubai. The room was not clean and the service was awful. Would not recommend!;719;15:0;11:30;135;1;3.8;Gym, Swimming Pool, Spa;0
The Ritz Plaza;Rome;185.09;2024-06-05;4;1;Very disappointing stay at The Ritz Plaza in Rome. The room was not clean and the service was awful. Would not recommend!;2832;13:45;11:0;179;0;3.8;Free Parking, Wi-Fi, Restaurant, Gym, Spa, Swimming Pool;1
Crystal Waters Resort;Tel Aviv;386.79;2024-03-23;3;1;Very disappointing stay at Crystal Waters Resort in Tel Aviv. The room was not clean and the service was awful. Would not recommend!;981;15:30;10:0;58;0;3.1;Air Conditioning, Free Parking, Spa, Restaurant, Gym;0
Sunset Beach Resort;Dubai;471.59;2024-08-02;3;1;Stay at Sunset Beach Resort in Dubai was okay. The room was decent, but nothing special. It was a fine experience overall.;2879;12:30;10:30;117;0;3.8;Spa, Wi-Fi, Air Conditioning, Free Parking, Gym;0
The Ritz Plaza;Paris;350.39;2024-06-28;2;1;Very disappointing stay at The Ritz Plaza in Paris. The room was not clean and the service was awful. Would not recommend!;1730;14:45;10:0;57;0;4.2;Free Parking, Restaurant, Gym, Swimming Pool;0
Crystal Waters Resort;Rome;230.75;2024-09-21;2;1;Very disappointing stay at Crystal Waters Resort in Rome. The room was not clean and the service was awful. Would not recommend!;1850;15:0;10:30;27;1;4.2;Restaurant, Air Conditioning, Free Parking, Swimming Pool, Gym;0
Skyline Retreat;Berlin;181.73;2024-05-28;2;1;Very disappointing stay at Skyline Retreat in Berlin. The room was not clean and the service was awful. Would not recommend!;3759;14:0;10:0;176;1;4.1;Free Parking, Restaurant, Air Conditioning, Swimming Pool;0
Imperial Heights Hotel;Tel Aviv;398.49;2024-08-19;1;1;Stay at Imperial Heights Hotel in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;4050;13:30;10:30;134;0;4.4;Air Conditioning, Wi-Fi, Free Parking, Gym;0
Sunset Beach Resort;Jerusalem;233.29;2024-03-19;3;1;Stay at Sunset Beach Resort in Jerusalem was okay. The room was decent, but nothing special. It was a fine experience overall.;1750;15:30;10:0;104;1;4.9;Wi-Fi, Swimming Pool, Spa, Restaurant;0
Imperial Heights Hotel;Tel Aviv;391.92;2024-03-13;1;1;Had an amazing stay at Imperial Heights Hotel in Tel Aviv. The service was top-notch and the amenities were fantastic! Highly recommend!;4289;15:45;11:0;34;0;3.6;Swimming Pool, Spa, Restaurant;0
Golden Sands Resort;New York;371.13;2024-07-20;3;1;Had an amazing stay at Golden Sands Resort in New York. The service was top-notch and the amenities were fantastic! Highly recommend!;4009;12:0;10:30;131;1;3.8;Restaurant, Air Conditioning, Swimming Pool, Wi-Fi, Spa;0
Heritage Grand Hotel;Rome;407.16;2024-01-11;2;1;Stay at Heritage Grand Hotel in Rome was okay. The room was decent, but nothing special. It was a fine experience overall.;1267;12:0;11:0;176;1;3.9;Spa, Swimming Pool, Restaurant, Gym;0
Crystal Waters Resort;Jerusalem;153.92;2024-06-05;1;1;Very disappointing stay at Crystal Waters Resort in Jerusalem. The room was not clean and the service was awful. Would not recommend!;4880;14:45;11:30;100;1;4.6;Wi-Fi, Swimming Pool, Free Parking, Spa, Air Conditioning;0
Seaside Luxury Suites;Dubai;213.28;2024-10-17;3;1;Very disappointing stay at Seaside Luxury Suites in Dubai. The room was not clean and the service was awful. Would not recommend!;2655;15:30;11:30;130;0;3.3;Spa, Swimming Pool, Free Parking;0
The Grand Palace;New York;354.75;2024-06-28;5;1;Very disappointing stay at The Grand Palace in New York. The room was not clean and the service was awful. Would not recommend!;3591;14:0;11:30;47;1;4.9;Swimming Pool, Gym, Free Parking, Air Conditioning;1
Golden Sands Resort;London;175.96;2024-06-07;5;1;Stay at Golden Sands Resort in London was okay. The room was decent, but nothing special. It was a fine experience overall.;1854;15:45;10:0;146;0;4.0;Free Parking, Spa, Wi-Fi;1
Golden Sands Resort;Berlin;101.32;2024-11-16;1;1;Stay at Golden Sands Resort in Berlin was okay. The room was decent, but nothing special. It was a fine experience overall.;2656;13:30;10:30;21;1;4.9;Free Parking, Gym, Spa, Swimming Pool, Air Conditioning, Wi-Fi;0
Seaside Luxury Suites;New York;111.22;2024-10-23;2;1;Very disappointing stay at Seaside Luxury Suites in New York. The room was not clean and the service was awful. Would not recommend!;1667;14:30;11:0;168;0;3.4;Air Conditioning, Wi-Fi, Free Parking;0
Royal Park Hotel;Berlin;59.19;2024-11-20;5;1;Stay at Royal Park Hotel in Berlin was okay. The room was decent, but nothing special. It was a fine experience overall.;4802;15:30;11:0;71;0;4.2;Swimming Pool, Air Conditioning, Spa, Free Parking, Gym;1
Sunset Beach Resort;Tel Aviv;434.34;2024-09-22;5;1;Stay at Sunset Beach Resort in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;4512;12:30;11:0;101;0;3.8;Gym, Spa, Wi-Fi, Air Conditioning, Free Parking;1
Sunset Beach Resort;Berlin;471.98;2024-03-26;5;1;Had an amazing stay at Sunset Beach Resort in Berlin. The service was top-notch and the amenities were fantastic! Highly recommend!;4317;14:30;11:30;194;0;4.2;Free Parking, Air Conditioning, Gym;1
Urban Escape Hotel;Jerusalem;294.24;2024-01-20;3;1;Stay at Urban Escape Hotel in Jerusalem was okay. The room was decent, but nothing special. It was a fine experience overall.;4137;15:45;11:30;108;0;3.8;Gym, Air Conditioning, Restaurant, Free Parking, Spa, Wi-Fi;0
Skyline Retreat;Berlin;163.37;2024-11-23;1;1;Very disappointing stay at Skyline Retreat in Berlin. The room was not clean and the service was awful. Would not recommend!;4300;12:0;10:0;110;1;4.0;Gym, Wi-Fi, Air Conditioning, Restaurant;0
Crystal Waters Resort;New York;345.67;2024-05-11;2;1;Had an amazing stay at Crystal Waters Resort in New York. The service was top-notch and the amenities were fantastic! Highly recommend!;3067;15:0;11:0;174;1;4.3;Spa, Restaurant, Gym, Wi-Fi, Free Parking, Swimming Pool;0
Heritage Grand Hotel;Tel Aviv;235.63;2024-01-20;5;1;Stay at Heritage Grand Hotel in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;646;13:0;11:0;51;0;4.3;Swimming Pool, Wi-Fi, Spa, Free Parking;1
Urban Escape Hotel;Rome;79.34;2024-12-14;4;1;Had an amazing stay at Urban Escape Hotel in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;1765;15:30;10:30;171;1;4.1;Gym, Restaurant, Air Conditioning, Spa, Wi-Fi, Free Parking;1
Skyline Retreat;Tel Aviv;353.37;2024-01-23;5;1;Stay at Skyline Retreat in Tel Aviv was okay. The room was decent, but nothing special. It was a fine experience overall.;3154;12:0;10:30;106;0;3.9;Restaurant, Free Parking, Wi-Fi, Gym, Air Conditioning, Swimming Pool;1
Mountain View Inn;Jerusalem;359.35;2024-05-02;2;1;Had an amazing stay at Mountain View Inn in Jerusalem. The service was top-notch and the amenities were fantastic! Highly recommend!;865;12:30;11:0;137;0;3.5;Gym, Free Parking, Spa;0
Urban Escape Hotel;Berlin;88.37;2024-02-18;5;1;Stay at Urban Escape Hotel in Berlin was okay. The room was decent, but nothing special. It was a fine experience overall.;4474;15:45;11:30;170;0;4.1;Restaurant, Spa, Air Conditioning;1
Sunset Beach Resort;Paris;431.71;2024-06-17;3;1;Stay at Sunset Beach Resort in Paris was okay. The room was decent, but nothing special. It was a fine experience overall.;1274;15:0;11:0;107;1;5.0;Spa, Restaurant, Air Conditioning;0
Crystal Waters Resort;Jerusalem;446.66;2024-03-27;1;1;Very disappointing stay at Crystal Waters Resort in Jerusalem. The room was not clean and the service was awful. Would not recommend!;3436;15:45;11:30;23;0;4.2;Swimming Pool, Air Conditioning, Spa, Gym, Restaurant, Free Parking;0
Skyline Retreat;Tel Aviv;167.74;2024-02-16;3;1;Very disappointing stay at Skyline Retreat in Tel Aviv. The room was not clean and the service was awful. Would not recommend!;2901;13:45;10:30;85;1;3.4;Wi-Fi, Swimming Pool, Spa, Restaurant;0
Heritage Grand Hotel;Paris;94.37;2024-11-16;1;1;Stay at Heritage Grand Hotel in Paris was okay. The room was decent, but nothing special. It was a fine experience overall.;3841;12:45;10:0;85;1;5.0;Gym, Wi-Fi, Swimming Pool, Air Conditioning, Spa, Restaurant;0
Mountain View Inn;Paris;94.58;2024-08-03;4;1;Stay at Mountain View Inn in Paris was okay. The room was decent, but nothing special. It was a fine experience overall.;2627;15:30;11:30;125;1;4.3;Restaurant, Wi-Fi, Spa, Gym, Air Conditioning;1
Imperial Heights Hotel;Tel Aviv;171.96;2024-10-20;3;1;Very disappointing stay at Imperial Heights Hotel in Tel Aviv. The room was not clean and the service was awful. Would not recommend!;2374;12:0;10:30;56;1;3.7;Swimming Pool, Free Parking, Spa, Restaurant;0
Sunset Beach Resort;Berlin;488.31;2024-01-18;3;1;Very disappointing stay at Sunset Beach Resort in Berlin. The room was not clean and the service was awful. Would not recommend!;4969;13:0;11:30;42;1;4.6;Swimming Pool, Free Parking, Wi-Fi;0
Royal Park Hotel;Dubai;325.1;2024-05-20;3;1;Very disappointing stay at Royal Park Hotel in Dubai. The room was not clean and the service was awful. Would not recommend!;2840;15:0;10:30;25;0;4.1;Spa, Wi-Fi, Gym, Swimming Pool;0
Skyline Retreat;New York;430.51;2024-04-05;4;1;Very disappointing stay at Skyline Retreat in New York. The room was not clean and the service was awful. Would not recommend!;955;15:45;10:0;87;1;3.8;Free Parking, Swimming Pool, Restaurant;1
Heritage Grand Hotel;Tel Aviv;247.45;2024-06-19;1;1;Very disappointing stay at Heritage Grand Hotel in Tel Aviv. The room was not clean and the service was awful. Would not recommend!;4763;14:30;11:30;40;0;4.5;Air Conditioning, Gym, Free Parking, Wi-Fi, Spa;0
Royal Park Hotel;London;96.06;2024-10-08;1;1;Had an amazing stay at Royal Park Hotel in London. The service was top-notch and the amenities were fantastic! Highly recommend!;4153;14:30;10:0;101;1;4.2;Swimming Pool, Restaurant, Air Conditioning, Spa, Wi-Fi;0
Luxe Hotel & Spa;Berlin;84.6;2024-09-21;4;1;Had an amazing stay at Luxe Hotel & Spa in Berlin. The service was top-notch and the amenities were fantastic! Highly recommend!;4914;13:45;10:30;24;0;5.0;Gym, Restaurant, Air Conditioning, Wi-Fi, Free Parking, Spa;1
Heritage Grand Hotel;New York;78.81;2024-11-06;1;1;Very disappointing stay at Heritage Grand Hotel in New York. The room was not clean and the service was awful. Would not recommend!;4693;15:45;10:0;160;1;4.3;Free Parking, Air Conditioning, Wi-Fi, Gym, Spa;0
The Ritz Plaza;New York;359.63;2024-01-12;1;1;Had an amazing stay at The Ritz Plaza in New York. The service was top-notch and the amenities were fantastic! Highly recommend!;3211;13:45;11:0;36;0;3.6;Free Parking, Spa, Gym, Air Conditioning, Swimming Pool, Wi-Fi;0
Skyline Retreat;Paris;142.06;2024-02-08;2;1;Very disappointing stay at Skyline Retreat in Paris. The room was not clean and the service was awful. Would not recommend!;4877;14:30;10:30;66;1;3.4;Swimming Pool, Free Parking, Air Conditioning;0
Sunset Beach Resort;Berlin;128.14;2024-03-23;1;1;Had an amazing stay at Sunset Beach Resort in Berlin. The service was top-notch and the amenities were fantastic! Highly recommend!;3111;12:30;10:30;124;1;3.1;Gym, Restaurant, Wi-Fi, Air Conditioning;0
Blue Lagoon Resort;Paris;409.52;2024-12-21;2;0;Stay at Blue Lagoon Resort in Paris was okay. The room was decent, but nothing special. It was a fine experience overall.;1531;12:45;11:30;174;1;4.1;Free Parking, Swimming Pool, Spa, Gym, Wi-Fi, Air Conditioning;0
Sunset Beach Resort;Tel Aviv;135.94;2024-05-20;2;0;Very disappointing stay at Sunset Beach Resort in Tel Aviv. The room was not clean and the service was awful. Would not recommend!;942;13:45;10:0;117;1;3.5;Free Parking, Air Conditioning, Wi-Fi, Spa, Gym;0
Skyline Retreat;Tel Aviv;243.63;2024-08-28;1;0;Had an amazing stay at Skyline Retreat in Tel Aviv. The service was top-notch and the amenities were fantastic! Highly recommend!;2714;13:0;11:0;191;1;3.9;Wi-Fi, Spa, Swimming Pool, Restaurant, Air Conditioning;0
Ocean Breeze Resort;Berlin;189.86;2024-08-12;5;0;Very disappointing stay at Ocean Breeze Resort in Berlin. The room was not clean and the service was awful. Would not recommend!;1071;13:0;10:30;125;0;3.5;Spa, Air Conditioning, Restaurant, Wi-Fi, Gym;0
Mountain View Inn;Paris;458.82;2024-03-19;2;0;Very disappointing stay at Mountain View Inn in Paris. The room was not clean and the service was awful. Would not recommend!;3557;14:45;11:0;144;0;3.6;Air Conditioning, Wi-Fi, Swimming Pool;0
Sunset Beach Resort;Rome;409.03;2024-11-13;5;0;Stay at Sunset Beach Resort in Rome was okay. The room was decent, but nothing special. It was a fine experience overall.;1162;14:45;10:30;138;0;4.8;Free Parking, Swimming Pool, Wi-Fi;0
Luxe Hotel & Spa;Jerusalem;96.73;2024-10-07;3;0;Very disappointing stay at Luxe Hotel & Spa in Jerusalem. The room was not clean and the service was awful. Would not recommend!;2026;15:0;11:0;21;0;3.9;Restaurant, Spa, Free Parking, Swimming Pool, Gym, Air Conditioning;0
Golden Sands Resort;Dubai;396.65;2024-12-08;2;0;Very disappointing stay at Golden Sands Resort in Dubai. The room was not clean and the service was awful. Would not recommend!;1606;14:45;11:0;31;0;3.2;Gym, Spa, Air Conditioning, Free Parking, Restaurant;0
Ocean Breeze Resort;London;388.06;2024-04-09;1;0;Stay at Ocean Breeze Resort in London was okay. The room was decent, but nothing special. It was a fine experience overall.;3920;15:45;10:0;138;0;4.2;Free Parking, Gym, Spa;0
Luxe Hotel & Spa;Rome;402.37;2024-05-27;5;0;Had an amazing stay at Luxe Hotel & Spa in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;4634;12:45;10:0;109;0;4.1;Free Parking, Restaurant, Swimming Pool;0
The Ritz Plaza;Dubai;51.95;2024-07-02;3;0;Had an amazing stay at The Ritz Plaza in Dubai. The service was top-notch and the amenities were fantastic! Highly recommend!;2575;14:30;11:30;183;1;4.2;Free Parking, Gym, Restaurant, Spa, Swimming Pool;0
Mountain View Inn;Paris;157.47;2024-04-19;1;0;Stay at Mountain View Inn in Paris was okay. The room was decent, but nothing special. It was a fine experience overall.;2527;14:45;11:0;115;0;4.6;Spa, Wi-Fi, Air Conditioning, Gym;0
Blue Lagoon Resort;Berlin;479.9;2024-04-10;3;0;Stay at Blue Lagoon Resort in Berlin was okay. The room was decent, but nothing special. It was a fine experience overall.;3319;15:45;11:0;120;1;4.3;Spa, Swimming Pool, Restaurant, Gym, Air Conditioning;0
Mountain View Inn;New York;112.19;2024-05-25;1;0;Stay at Mountain View Inn in New York was okay. The room was decent, but nothing special. It was a fine experience overall.;4787;13:45;11:0;187;0;4.4;Free Parking, Spa, Air Conditioning, Swimming Pool;0
Imperial Heights Hotel;Tel Aviv;293.65;2024-09-19;1;0;Had an amazing stay at Imperial Heights Hotel in Tel Aviv. The service was top-notch and the amenities were fantastic! Highly recommend!;2748;14:0;11:0;45;0;3.6;Restaurant, Air Conditioning, Gym;0
Royal Park Hotel;Dubai;129.24;2024-11-10;1;0;Stay at Royal Park Hotel in Dubai was okay. The room was decent, but nothing special. It was a fine experience overall.;2605;13:30;10:0;156;0;4.5;Spa, Swimming Pool, Restaurant, Wi-Fi, Gym;0
Urban Escape Hotel;Berlin;190.83;2024-12-13;5;0;Had an amazing stay at Urban Escape Hotel in Berlin. The service was top-notch and the amenities were fantastic! Highly recommend!;3130;14:0;10:30;80;1;3.9;Air Conditioning, Free Parking, Wi-Fi;0
Heritage Grand Hotel;Tel Aviv;433.65;2024-01-07;1;0;Had an amazing stay at Heritage Grand Hotel in Tel Aviv. The service was top-notch and the amenities were fantastic! Highly recommend!;2824;13:30;11:0;30;1;3.3;Air Conditioning, Free Parking, Gym, Wi-Fi, Spa, Swimming Pool;0
Skyline Retreat;London;258.2;2024-08-11;3;0;Very disappointing stay at Skyline Retreat in London. The room was not clean and the service was awful. Would not recommend!;2579;12:0;11:0;31;1;4.5;Free Parking, Wi-Fi, Restaurant, Swimming Pool, Spa, Gym;0
Heritage Grand Hotel;Dubai;422.09;2024-06-04;3;0;Had an amazing stay at Heritage Grand Hotel in Dubai. The service was top-notch and the amenities were fantastic! Highly recommend!;2026;12:45;10:0;63;0;4.8;Wi-Fi, Swimming Pool, Air Conditioning, Restaurant;0
The Ritz Plaza;Berlin;68.42;2024-04-20;3;0;Stay at The Ritz Plaza in Berlin was okay. The room was decent, but nothing special. It was a fine experience overall.;4186;12:0;10:30;71;0;4.7;Restaurant, Gym, Swimming Pool, Free Parking;0
Royal Park Hotel;New York;424.78;2024-06-16;3;0;Had an amazing stay at Royal Park Hotel in New York. The service was top-notch and the amenities were fantastic! Highly recommend!;4097;15:0;11:30;92;0;3.3;Swimming Pool, Wi-Fi, Spa, Gym, Restaurant;0
Imperial Heights Hotel;Rome;311.5;2024-03-13;5;0;Had an amazing stay at Imperial Heights Hotel in Rome. The service was top-notch and the amenities were fantastic! Highly recommend!;959;13:30;11:30;66;1;3.7;Swimming Pool, Gym, Spa, Wi-Fi, Free Parking, Air Conditioning;0
Skyline Retreat;London;350.94;2024-02-26;4;0;Had an amazing stay at Skyline Retreat in London. The service was top-notch and the amenities were fantastic! Highly recommend!;4315;14:0;10:30;108;0;3.4;Restaurant, Wi-Fi, Air Conditioning;0
